"refseq"	"group"
"NM_010444"	"Depleted"
"NM_010444"	"Depleted"
"NM_026768"	"Enriched"
"NM_026768"	"Enriched"
"NM_026768"	"Enriched"
"NM_026768"	"Enriched"
"NM_026768"	"Enriched"
"NM_026768"	"Enriched"
"NM_001360909"	"Depleted"
"NM_001360909"	"Depleted"
"NM_001360909"	"Depleted"
"NM_021448"	"Depleted"
"NM_021448"	"Depleted"
"NM_021448"	"Depleted"
"NM_001360909"	"Depleted"
"NM_001360909"	"Depleted"
"NM_001360909"	"Depleted"
"NM_021448"	"Depleted"
"NM_021448"	"Depleted"
"NM_021448"	"Depleted"
"NM_025468"	"Enriched"
"NM_025468"	"Enriched"
"NM_025468"	"Enriched"
"NM_025468"	"Enriched"
"NM_025468"	"Enriched"
"NM_025468"	"Enriched"
"NM_025468"	"Enriched"
"NM_025468"	"Enriched"
"NM_025468"	"Enriched"
"NM_025468"	"Enriched"
"NM_025468"	"Enriched"
"NM_025468"	"Enriched"
"NM_001013770"	"Depleted"
"NM_001013770"	"Depleted"
"NM_001013770"	"Depleted"
"NM_001013770"	"Depleted"
"NM_001013770"	"Depleted"
"NM_001013770"	"Depleted"
"NM_001013770"	"Depleted"
"NM_001013770"	"Depleted"
"NM_001013770"	"Depleted"
"NM_001013770"	"Depleted"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_026928"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286217"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001286218"	"Enriched"
"NM_001357782"	"Enriched"
"NM_001357782"	"Enriched"
"NM_001357782"	"Enriched"
"NM_022422"	"Enriched"
"NM_022422"	"Enriched"
"NM_022422"	"Enriched"
"NM_001357782"	"Enriched"
"NM_001357782"	"Enriched"
"NM_001357782"	"Enriched"
"NM_022422"	"Enriched"
"NM_022422"	"Enriched"
"NM_022422"	"Enriched"
"NM_026962"	"Enriched"
"NM_026962"	"Enriched"
"NM_026962"	"Enriched"
"NM_026962"	"Enriched"
"NM_001164574"	"Enriched"
"NM_001164574"	"Enriched"
"NM_001164574"	"Enriched"
"NM_026962"	"Enriched"
"NM_026962"	"Enriched"
"NM_026962"	"Enriched"
"NM_026962"	"Enriched"
"NM_001164574"	"Enriched"
"NM_001164574"	"Enriched"
"NM_001164574"	"Enriched"
"NM_198006"	"Depleted"
"NM_198006"	"Depleted"
"NM_198006"	"Depleted"
"NM_029635"	"Enriched"
"NM_029635"	"Enriched"
"NM_029635"	"Enriched"
"NM_010808"	"Depleted"
"NM_010808"	"Depleted"
"NM_010808"	"Depleted"
"NM_001358036"	"Enriched"
"NM_001358036"	"Enriched"
"NM_001358036"	"Enriched"
"NM_001358036"	"Enriched"
"NM_001301067"	"Enriched"
"NM_001301067"	"Enriched"
"NM_001301067"	"Enriched"
"NM_001301067"	"Enriched"
"NM_001358035"	"Enriched"
"NM_001358035"	"Enriched"
"NM_001358035"	"Enriched"
"NM_001358035"	"Enriched"
"NM_007598"	"Enriched"
"NM_007598"	"Enriched"
"NM_007598"	"Enriched"
"NM_007598"	"Enriched"
"NM_025455"	"Enriched"
"NM_025455"	"Enriched"
"NM_025455"	"Enriched"
"NM_025455"	"Enriched"
"NM_025455"	"Enriched"
"NM_025455"	"Enriched"
"NM_025455"	"Enriched"
"NM_025455"	"Enriched"
"NM_025455"	"Enriched"
"NM_025455"	"Enriched"
"NM_025455"	"Enriched"
"NM_025455"	"Enriched"
"NM_026780"	"Enriched"
"NM_026780"	"Enriched"
"NM_026780"	"Enriched"
"NM_025582"	"Enriched"
"NM_025582"	"Enriched"
"NM_025582"	"Enriched"
"NM_001199245"	"Depleted"
"NM_001199245"	"Depleted"
"NM_001199245"	"Depleted"
"NM_001199244"	"Depleted"
"NM_001199244"	"Depleted"
"NM_001199244"	"Depleted"
"NM_030265"	"Depleted"
"NM_030265"	"Depleted"
"NM_030265"	"Depleted"
"NM_001199242"	"Depleted"
"NM_001199242"	"Depleted"
"NM_001199242"	"Depleted"
"NM_001199243"	"Depleted"
